polynomial,budget,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
unity-cubic,24,7,1,0.2666666666666666,0.5333333333333332,1.0666666666666669,1.3333333333333335,100,9.96,0.4,0.0
unity-cubic,24,8,1,0.5333333333333332,0.7999999999999998,1.0666666666666669,1.3333333333333335,100,14.3,0.94,0.02
unity-cubic,24,9,1,0.7999999999999998,1.0666666666666664,1.0666666666666669,1.3333333333333335,100,10.98,0.63,0.01
unity-cubic,24,10,1,1.0666666666666664,1.333333333333333,1.0666666666666669,1.3333333333333335,100,7.85,0.01,0.0
unity-cubic,24,11,1,1.333333333333333,1.6,1.0666666666666669,1.3333333333333335,100,7.13,0.0,0.0
unity-cubic,24,0,2,-1.6,-1.3333333333333335,0.8,1.0666666666666669,100,6.0,0.0,0.0
unity-cubic,24,1,2,-1.3333333333333335,-1.0666666666666669,0.8,1.0666666666666669,100,5.4,0.0,0.0
unity-cubic,24,2,2,-1.0666666666666669,-0.8,0.8,1.0666666666666669,100,4.93,0.0,0.0
unity-cubic,24,3,2,-0.8,-0.5333333333333334,0.8,1.0666666666666669,100,3.92,0.0,0.0
unity-cubic,24,4,2,-0.5333333333333334,-0.26666666666666683,0.8,1.0666666666666669,100,3.77,0.0,0.0
unity-cubic,24,5,2,-0.26666666666666683,0.0,0.8,1.0666666666666669,100,4.97,0.0,0.0
unity-cubic,24,6,2,0.0,0.2666666666666666,0.8,1.0666666666666669,100,6.66,0.0,0.0
unity-cubic,24,7,2,0.2666666666666666,0.5333333333333332,0.8,1.0666666666666669,100,9.92,0.44,0.01
unity-cubic,24,8,2,0.5333333333333332,0.7999999999999998,0.8,1.0666666666666669,100,10.05,0.41,0.0
unity-cubic,24,9,2,0.7999999999999998,1.0666666666666664,0.8,1.0666666666666669,100,8.5,0.18,0.0
unity-cubic,24,10,2,1.0666666666666664,1.333333333333333,0.8,1.0666666666666669,100,6.6,0.0,0.0
unity-cubic,24,11,2,1.333333333333333,1.6,0.8,1.0666666666666669,100,6.27,0.0,0.0
unity-cubic,24,0,3,-1.6,-1.3333333333333335,0.5333333333333334,0.8,100,6.45,0.0,0.0
unity-cubic,24,1,3,-1.3333333333333335,-1.0666666666666669,0.5333333333333334,0.8,100,5.88,0.0,0.0
unity-cubic,24,2,3,-1.0666666666666669,-0.8,0.5333333333333334,0.8,100,5.12,0.0,0.0
