polynomial,budget,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
split-critical-asymmetric-cubic,24,1,1,-1.3333333333333335,-1.0666666666666669,1.0666666666666669,1.3333333333333335,225,5.92,0.0,0.0
split-critical-asymmetric-cubic,24,2,1,-1.0666666666666669,-0.8,1.0666666666666669,1.3333333333333335,225,5.0,0.0,0.0
split-critical-asymmetric-cubic,24,3,1,-0.8,-0.5333333333333334,1.0666666666666669,1.3333333333333335,225,4.817777777777778,0.0,0.0
split-critical-asymmetric-cubic,24,4,1,-0.5333333333333334,-0.26666666666666683,1.0666666666666669,1.3333333333333335,225,4.297777777777778,0.0,0.0
split-critical-asymmetric-cubic,24,5,1,-0.26666666666666683,0.0,1.0666666666666669,1.3333333333333335,225,4.742222222222222,0.0,0.0
split-critical-asymmetric-cubic,24,6,1,0.0,0.2666666666666666,1.0666666666666669,1.3333333333333335,225,5.573333333333333,0.0,0.0
split-critical-asymmetric-cubic,24,7,1,0.2666666666666666,0.5333333333333332,1.0666666666666669,1.3333333333333335,225,7.977777777777778,0.14222222222222222,0.0
split-critical-asymmetric-cubic,24,8,1,0.5333333333333332,0.7999999999999998,1.0666666666666669,1.3333333333333335,225,11.137777777777778,0.7644444444444445,0.0
split-critical-asymmetric-cubic,24,9,1,0.7999999999999998,1.0666666666666664,1.0666666666666669,1.3333333333333335,225,10.822222222222223,0.7244444444444444,0.0044444444444444444
split-critical-asymmetric-cubic,24,10,1,1.0666666666666664,1.333333333333333,1.0666666666666669,1.3333333333333335,225,8.284444444444444,0.08444444444444445,0.0
split-critical-asymmetric-cubic,24,11,1,1.333333333333333,1.6,1.0666666666666669,1.3333333333333335,225,7.315555555555555,0.0,0.0
split-critical-asymmetric-cubic,24,0,2,-1.6,-1.3333333333333335,0.8,1.0666666666666669,225,6.351111111111111,0.0,0.0
split-critical-asymmetric-cubic,24,1,2,-1.3333333333333335,-1.0666666666666669,0.8,1.0666666666666669,225,5.986666666666666,0.0,0.0
split-critical-asymmetric-cubic,24,2,2,-1.0666666666666669,-0.8,0.8,1.0666666666666669,225,5.102222222222222,0.0,0.0
split-critical-asymmetric-cubic,24,3,2,-0.8,-0.5333333333333334,0.8,1.0666666666666669,225,4.515555555555555,0.0,0.0
split-critical-asymmetric-cubic,24,4,2,-0.5333333333333334,-0.26666666666666683,0.8,1.0666666666666669,225,3.688888888888889,0.0,0.0
split-critical-asymmetric-cubic,24,5,2,-0.26666666666666683,0.0,0.8,1.0666666666666669,225,4.368888888888889,0.0,0.0
split-critical-asymmetric-cubic,24,6,2,0.0,0.2666666666666666,0.8,1.0666666666666669,225,5.795555555555556,0.0,0.0
split-critical-asymmetric-cubic,24,7,2,0.2666666666666666,0.5333333333333332,0.8,1.0666666666666669,225,9.693333333333333,0.4266666666666667,0.0
split-critical-asymmetric-cubic,24,8,2,0.5333333333333332,0.7999999999999998,0.8,1.0666666666666669,225,9.488888888888889,0.38222222222222224,0.0
split-critical-asymmetric-cubic,24,9,2,0.7999999999999998,1.0666666666666664,0.8,1.0666666666666669,225,8.902222222222223,0.2577777777777778,0.0
split-critical-asymmetric-cubic,24,10,2,1.0666666666666664,1.333333333333333,0.8,1.0666666666666669,225,6.7555555555555555,0.0,0.0
split-critical-asymmetric-cubic,24,11,2,1.333333333333333,1.6,0.8,1.0666666666666669,225,6.408888888888889,0.0,0.0
split-critical-asymmetric-cubic,24,0,3,-1.6,-1.3333333333333335,0.5333333333333334,0.8,225,7.062222222222222,0.0,0.0
split-critical-asymmetric-cubic,24,1,3,-1.3333333333333335,-1.0666666666666669,0.5333333333333334,0.8,225,6.368888888888889,0.0,0.0
split-critical-asymmetric-cubic,24,2,3,-1.0666666666666669,-0.8,0.5333333333333334,0.8,225,5.764444444444444,0.0,0.0
split-critical-asymmetric-cubic,24,3,3,-0.8,-0.5333333333333334,0.5333333333333334,0.8,225,5.053333333333334,0.0,0.0
split-critical-asymmetric-cubic,24,4,3,-0.5333333333333334,-0.26666666666666683,0.5333333333333334,0.8,225,4.564444444444445,0.0,0.0
split-critical-asymmetric-cubic,24,5,3,-0.26666666666666683,0.0,0.5333333333333334,0.8,225,5.128888888888889,0.0,0.0
split-critical-asymmetric-cubic,24,6,3,0.0,0.2666666666666666,0.5333333333333334,0.8,225,8.337777777777777,0.2577777777777778,0.0
split-critical-asymmetric-cubic,24,7,3,0.2666666666666666,0.5333333333333332,0.5333333333333334,0.8,225,10.053333333333333,0.5733333333333334,0.0044444444444444444
split-critical-asymmetric-cubic,24,8,3,0.5333333333333332,0.7999999999999998,0.5333333333333334,0.8,225,8.506666666666666,0.18666666666666668,0.0
split-critical-asymmetric-cubic,24,9,3,0.7999999999999998,1.0666666666666664,0.5333333333333334,0.8,225,6.315555555555555,0.0,0.0
split-critical-asymmetric-cubic,24,10,3,1.0666666666666664,1.333333333333333,0.5333333333333334,0.8,225,5.791111111111111,0.0,0.0
split-critical-asymmetric-cubic,24,11,3,1.333333333333333,1.6,0.5333333333333334,0.8,225,5.8933333333333335,0.0,0.0
split-critical-asymmetric-cubic,24,0,4,-1.6,-1.3333333333333335,0.26666666666666683,0.5333333333333334,225,8.991111111111111,0.24888888888888888,0.0
split-critical-asymmetric-cubic,24,1,4,-1.3333333333333335,-1.0666666666666669,0.26666666666666683,0.5333333333333334,225,8.413333333333334,0.18666666666666668,0.0
split-critical-asymmetric-cubic,24,2,4,-1.0666666666666669,-0.8,0.26666666666666683,0.5333333333333334,225,7.604444444444445,0.08888888888888889,0.0
split-critical-asymmetric-cubic,24,3,4,-0.8,-0.5333333333333334,0.26666666666666683,0.5333333333333334,225,6.946666666666666,0.02666666666666667,0.0
split-critical-asymmetric-cubic,24,4,4,-0.5333333333333334,-0.26666666666666683,0.26666666666666683,0.5333333333333334,225,7.533333333333333,0.16,0.0
split-critical-asymmetric-cubic,24,5,4,-0.26666666666666683,0.0,0.26666666666666683,0.5333333333333334,225,8.12888888888889,0.17777777777777778,0.0
split-critical-asymmetric-cubic,24,6,4,0.0,0.2666666666666666,0.26666666666666683,0.5333333333333334,225,9.893333333333333,0.4444444444444444,0.0
