power,budget,threshold,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
3,40,20,6,8,0.0,0.2666666666666666,-0.7999999999999998,-0.5333333333333332,100,9.85,0.02,0.0
3,40,20,7,8,0.2666666666666666,0.5333333333333332,-0.7999999999999998,-0.5333333333333332,100,13.36,0.08,0.0
3,40,20,8,8,0.5333333333333332,0.7999999999999998,-0.7999999999999998,-0.5333333333333332,100,8.35,0.0,0.0
3,40,20,9,8,0.7999999999999998,1.0666666666666664,-0.7999999999999998,-0.5333333333333332,100,6.17,0.0,0.0
3,40,20,10,8,1.0666666666666664,1.333333333333333,-0.7999999999999998,-0.5333333333333332,100,5.72,0.0,0.0
3,40,20,11,8,1.333333333333333,1.6,-0.7999999999999998,-0.5333333333333332,100,5.82,0.0,0.0
3,40,20,0,9,-1.6,-1.3333333333333335,-1.0666666666666664,-0.7999999999999998,100,6.0,0.0,0.0
3,40,20,1,9,-1.3333333333333335,-1.0666666666666669,-1.0666666666666664,-0.7999999999999998,100,5.4,0.0,0.0
3,40,20,2,9,-1.0666666666666669,-0.8,-1.0666666666666664,-0.7999999999999998,100,4.93,0.0,0.0
3,40,20,3,9,-0.8,-0.5333333333333334,-1.0666666666666664,-0.7999999999999998,100,3.92,0.0,0.0
3,40,20,4,9,-0.5333333333333334,-0.26666666666666683,-1.0666666666666664,-0.7999999999999998,100,3.77,0.0,0.0
3,40,20,5,9,-0.26666666666666683,0.0,-1.0666666666666664,-0.7999999999999998,100,4.97,0.0,0.0
3,40,20,6,9,0.0,0.2666666666666666,-1.0666666666666664,-0.7999999999999998,100,6.66,0.0,0.0
3,40,20,7,9,0.2666666666666666,0.5333333333333332,-1.0666666666666664,-0.7999999999999998,100,9.93,0.02,0.0
3,40,20,8,9,0.5333333333333332,0.7999999999999998,-1.0666666666666664,-0.7999999999999998,100,10.05,0.02,0.0
3,40,20,9,9,0.7999999999999998,1.0666666666666664,-1.0666666666666664,-0.7999999999999998,100,8.5,0.01,0.0
3,40,20,10,9,1.0666666666666664,1.333333333333333,-1.0666666666666664,-0.7999999999999998,100,6.6,0.0,0.0
3,40,20,11,9,1.333333333333333,1.6,-1.0666666666666664,-0.7999999999999998,100,6.27,0.0,0.0
3,40,20,0,10,-1.6,-1.3333333333333335,-1.333333333333333,-1.0666666666666664,100,6.0,0.0,0.0
3,40,20,1,10,-1.3333333333333335,-1.0666666666666669,-1.333333333333333,-1.0666666666666664,100,5.32,0.0,0.0
3,40,20,2,10,-1.0666666666666669,-0.8,-1.333333333333333,-1.0666666666666664,100,5.0,0.0,0.0
3,40,20,3,10,-0.8,-0.5333333333333334,-1.333333333333333,-1.0666666666666664,100,4.6,0.0,0.0
3,40,20,4,10,-0.5333333333333334,-0.26666666666666683,-1.333333333333333,-1.0666666666666664,100,4.59,0.0,0.0
3,40,20,5,10,-0.26666666666666683,0.0,-1.333333333333333,-1.0666666666666664,100,5.1,0.0,0.0
3,40,20,6,10,0.0,0.2666666666666666,-1.333333333333333,-1.0666666666666664,100,6.31,0.0,0.0
3,40,20,7,10,0.2666666666666666,0.5333333333333332,-1.333333333333333,-1.0666666666666664,100,9.96,0.0,0.0
3,40,20,8,10,0.5333333333333332,0.7999999999999998,-1.333333333333333,-1.0666666666666664,100,14.42,0.14,0.0
3,40,20,9,10,0.7999999999999998,1.0666666666666664,-1.333333333333333,-1.0666666666666664,100,11.01,0.01,0.0
3,40,20,10,10,1.0666666666666664,1.333333333333333,-1.333333333333333,-1.0666666666666664,100,7.85,0.0,0.0
3,40,20,11,10,1.333333333333333,1.6,-1.333333333333333,-1.0666666666666664,100,7.13,0.0,0.0
3,40,20,0,11,-1.6,-1.3333333333333335,-1.6,-1.333333333333333,100,6.0,0.0,0.0
3,40,20,1,11,-1.3333333333333335,-1.0666666666666669,-1.6,-1.333333333333333,100,5.7,0.0,0.0
3,40,20,2,11,-1.0666666666666669,-0.8,-1.6,-1.333333333333333,100,5.01,0.0,0.0
3,40,20,3,11,-0.8,-0.5333333333333334,-1.6,-1.333333333333333,100,5.0,0.0,0.0
3,40,20,4,11,-0.5333333333333334,-0.26666666666666683,-1.6,-1.333333333333333,100,5.0,0.0,0.0
3,40,20,5,11,-0.26666666666666683,0.0,-1.6,-1.333333333333333,100,5.55,0.0,0.0
3,40,20,6,11,0.0,0.2666666666666666,-1.6,-1.333333333333333,100,6.3,0.0,0.0
3,40,20,7,11,0.2666666666666666,0.5333333333333332,-1.6,-1.333333333333333,100,7.77,0.0,0.0
3,40,20,8,11,0.5333333333333332,0.7999999999999998,-1.6,-1.333333333333333,100,11.69,0.03,0.0
